S. No,Order ID,Order Date,Ship Date (Bluesky Logistics),Ship Mode (Bluesky Logistics),Country,City,Postal Code,Region,Product ID,Product Name (by Designer),Sales (INR), Cost (INR),Quantity,Profit (INR),Turnaround time (days),Delivery status,ship mode
1287,CA-2015-124268,42189,42193,Standard Class,India,Tiruvananthapuram,10035,East,OFF-AR-10004817,Collar necked,15.48,10.9908,3,4.4892,10,Late delivery,Regular Air
1288,CA-2016-154711,42696,42700,Standard Class,India,Tiruvananthapuram,10009,East,FUR-FU-10000397,Collar necked,39.88,28.7136,2,11.1664,10,Late delivery,Regular Air
1289,CA-2016-154711,42696,42700,Standard Class,India,Tiruvananthapuram,10009,East,OFF-BI-10000605,Collar necked,12.192,8.0772,4,4.1148,10,Late delivery,Regular Air
1290,CA-2016-154711,42696,42700,Standard Class,India,Tiruvananthapuram,10009,East,OFF-AR-10001860,Collar necked,20.82,13.3248,3,7.4952,10,Shipping on time,Regular Air
1291,CA-2016-163384,42684,42686,First Class,India,Tiruvananthapuram,94122,West,OFF-BI-10004970,Collar necked,13.216,8.7556,4,4.4604,3,Late delivery,Regular Air
1292,CA-2016-163384,42684,42686,First Class,India,Tiruvananthapuram,94122,West,OFF-PA-10003172,Collar necked,32.4,16.848,5,15.552,3,Late delivery,Regular Air
1293,CA-2015-101707,42243,42248,Standard Class,India,Tiruvananthapuram,92105,West,OFF-SU-10001218,Collar necked,32.94,23.7168,3,9.2232,10,Late delivery,Regular Air
1294,CA-2015-101707,42243,42248,Standard Class,India,Tiruvananthapuram,92105,West,OFF-PA-10002968,Collar necked,114.2,61.668,5,52.532,10,Late delivery,Delivery Truck
1295,CA-2015-101707,42243,42248,Standard Class,India,Tiruvananthapuram,92105,West,OFF-LA-10000134,Collar necked,3.08,1.6016,1,1.4784,10,Late delivery,Delivery Truck
1296,CA-2015-138898,42149,42153,Standard Class,India,Tiruvananthapuram,81001,West,OFF-AP-10004487,Collar necked,845.728,761.1552,13,84.5727999999999,10,Late delivery,Delivery Truck
1297,CA-2017-115427,43099,43103,Standard Class,India,Tiruvananthapuram,94533,West,OFF-BI-10002103,Collar necked,13.904,9.3852,2,4.5188,10,Shipping on time,Regular Air
1298,CA-2017-115427,43099,43103,Standard Class,India,Tiruvananthapuram,94533,West,OFF-BI-10004632,Collar necked,20.72,14.245,2,6.475,10,Late delivery,Regular Air
1299,CA-2016-134425,42712,42716,Second Class,India,Tiruvananthapuram,55106,Central,TEC-PH-10003555,Collar necked,114.95,112.651,5,2.29900000000001,7,Late delivery,Regular Air
1300,CA-2015-121391,42281,42284,First Class,India,Tiruvananthapuram,94109,West,OFF-ST-10001590,Collar necked,26.96,19.9504,2,7.0096,3,Late delivery,Regular Air
1301,CA-2016-137043,42727,42729,Second Class,India,Tiruvananthapuram,22153,South,FUR-FU-10003664,Collar necked,572.76,406.6596,6,166.1004,7,Late delivery,Regular Air
1302,CA-2016-137043,42727,42729,Second Class,India,Tiruvananthapuram,22153,South,FUR-FU-10003664,Collar necked,286.38,203.3298,3,83.0502,7,Late delivery,Regular Air
1303,CA-2015-115847,42266,42271,Second Class,India,Tiruvananthapuram,22204,South,FUR-BO-10003433,Collar necked,61.96,57.6228,2,4.3372,7,Late delivery,Express Air
1304,US-2017-126179,42919,42923,Standard Class,India,Tiruvananthapuram,31907,South,FUR-FU-10002554,Collar necked,23.99,18.4723,1,5.5177,10,Late delivery,Regular Air
1305,US-2017-126179,42919,42923,Standard Class,India,Tiruvananthapuram,31907,South,TEC-PH-10001557,Collar necked,287.97,210.2181,3,77.7519,10,Late delivery,Regular Air
1306,CA-2016-101966,42565,42567,Second Class,India,Tiruvananthapuram,77036,Central,TEC-PH-10003437,Collar necked,419.944,367.451,7,52.493,7,Late delivery,Delivery Truck
1307,CA-2016-141397,42541,42542,First Class,India,Tiruvananthapuram,91104,West,OFF-PA-10002986,Collar necked,46.76,24.3152,7,22.4448,3,Late delivery,Regular Air
1308,CA-2016-141397,42541,42542,First Class,India,Mumbai,91104,West,OFF-BI-10000320,Collar necked,17.712,11.2914,3,6.4206,3,Late delivery,Regular Air
1309,CA-2016-141397,42541,42542,First Class,India,Mumbai,91104,West,OFF-AP-10003971,Collar necked,21.78,16.1172,2,5.6628,3,Late delivery,Regular Air
1310,CA-2016-141397,42541,42542,First Class,India,Mumbai,91104,West,OFF-ST-10001469,Collar necked,161.94,152.2236,3,9.71639999999999,3,Late delivery,Express Air
1311,CA-2016-141397,42541,42542,First Class,India,Mumbai,91104,West,FUR-CH-10003846,Collar necked,161.568,169.6464,2,-8.0784,3,Shipping on time,Regular Air
1312,CA-2016-141082,42713,42717,Standard Class,India,Mumbai,1841,East,OFF-LA-10001404,Collar necked,3.69,1.9557,1,1.7343,10,Late delivery,Regular Air
1313,CA-2016-141082,42713,42717,Standard Class,India,Mumbai,1841,East,OFF-LA-10001474,Collar necked,122.12,65.9448,4,56.1752,10,Shipping on time,Regular Air
1314,US-2016-134488,42637,42644,Standard Class,India,Mumbai,43229,East,FUR-CH-10003199,Collar necked,155.372,168.6896,2,-13.3176,10,Shipping on time,Express Air
1315,CA-2016-145919,42722,42727,Standard Class,India,Mumbai,90032,West,OFF-PA-10003072,Collar necked,38.88,20.2176,6,18.6624,10,Late delivery,Regular Air
1316,CA-2016-145919,42722,42727,Standard Class,India,Mumbai,90032,West,FUR-FU-10004960,Collar necked,183.84,121.3344,8,62.5056,10,Shipping on time,Delivery Truck
1317,CA-2016-145919,42722,42727,Standard Class,India,Mumbai,90032,West,OFF-SU-10003505,Collar necked,579.3,550.335,5,28.965,10,Late delivery,Delivery Truck
1318,CA-2017-157651,43079,43083,Standard Class,India,Mumbai,19120,East,TEC-AC-10003116,Collar necked,14.2,10.8275,1,3.3725,10,Late delivery,Regular Air
1319,CA-2014-160773,41821,41825,Standard Class,India,Mumbai,32725,South,TEC-PH-10004586,Collar necked,575.92,503.93,2,71.99,10,Shipping on time,Delivery Truck
1320,CA-2014-160773,41821,41825,Standard Class,India,Mumbai,32725,South,OFF-BI-10000546,Collar necked,5.184,8.8128,6,-3.6288,10,Late delivery,Regular Air
1321,CA-2017-167703,42769,42774,Standard Class,India,Mumbai,45231,East,OFF-BI-10002071,Collar necked,5.229,9.4122,3,-4.1832,10,Advance shipping,Regular Air
1322,CA-2017-167703,42769,42774,Standard Class,India,Mumbai,45231,East,OFF-ST-10001490,Collar necked,285.552,249.858,2,35.694,10,Late delivery,Delivery Truck
1323,CA-2017-121804,42797,42802,Standard Class,India,Mumbai,42071,South,OFF-AP-10004859,Collar necked,72.8,53.144,5,19.656,10,Shipping on time,Express Air
1324,CA-2017-162635,43017,43018,First Class,India,Mumbai,28403,South,OFF-PA-10002659,Collar necked,10.816,7.3008,4,3.5152,3,Shipping on time,Regular Air
1325,CA-2014-107153,41910,41915,Standard Class,India,Mumbai,1841,East,OFF-ST-10001321,Collar necked,46.26,33.7698,3,12.4902,10,Shipping on time,Regular Air
1326,US-2014-117058,41786,41789,First Class,India,Mumbai,60653,Central,OFF-BI-10004139,Collar necked,17.46,48.015,6,-30.555,3,Late delivery,Express Air
1327,CA-2015-120439,42169,42173,Standard Class,India,Mumbai,19120,East,FUR-FU-10001867,Collar necked,51.072,45.9648,6,5.1072,10,Late delivery,Regular Air
1328,CA-2016-128258,42459,42461,First Class,India,Mumbai,6360,East,OFF-PA-10004156,Collar necked,11.34,5.7834,1,5.5566,3,Shipping on time,Regular Air
1329,CA-2017-106033,43023,43026,Second Class,India,Mumbai,94110,West,OFF-AR-10002818,Collar necked,87.92,61.544,4,26.376,7,Advance shipping,Regular Air
1330,CA-2016-142762,42513,42517,Standard Class,India,Mumbai,94109,West,FUR-FU-10003691,Collar necked,37.05,20.748,3,16.302,10,Advance shipping,Regular Air
1331,CA-2017-127705,42888,42892,Standard Class,India,Mumbai,44052,East,TEC-PH-10000347,Collar necked,2.97,3.6135,1,-0.6435,10,Advance shipping,Regular Air
1332,CA-2017-127705,42888,42892,Standard Class,India,Hyderabad,44052,East,OFF-ST-10004507,Polo Collar neck,27.44,25.039,2,2.401,10,Late delivery,Regular Air
1333,CA-2014-122567,41686,41691,Standard Class,India,Hyderabad,75220,Central,OFF-BI-10002012,Polo Collar neck,1.08,2.808,3,-1.728,10,Advance shipping,Regular Air
1334,CA-2014-122567,41686,41691,Standard Class,India,Hyderabad,75220,Central,OFF-AP-10001303,Polo Collar neck,7.96,21.89,2,-13.93,10,Advance shipping,Delivery Truck
1335,CA-2014-121664,41765,41769,Standard Class,India,Hyderabad,90049,West,OFF-BI-10003684,Polo Collar neck,140.736,87.96,8,52.776,10,Late delivery,Delivery Truck
1336,CA-2016-122133,42506,42513,Standard Class,India,Hyderabad,6457,East,OFF-ST-10002574,Polo Collar neck,552.56,552.56,4,0,10,Late delivery,Express Air
1337,US-2017-123281,42827,42832,Standard Class,India,Hyderabad,90008,West,FUR-FU-10003724,Polo Collar neck,25.11,18.5814,3,6.5286,10,Advance shipping,Regular Air
1338,CA-2017-100524,42825,42827,Second Class,India,Hyderabad,10011,East,FUR-FU-10004018,Polo Collar neck,29.78,21.7394,2,8.0406,7,Late delivery,Delivery Truck
1339,CA-2017-100524,42825,42827,Second Class,India,Hyderabad,10011,East,TEC-PH-10002549,Polo Collar neck,677.58,501.4092,3,176.1708,7,Late delivery,Regular Air
1340,CA-2017-100524,42825,42827,Second Class,India,Hyderabad,10011,East,OFF-PA-10004911,Polo Collar neck,75.04,39.0208,8,36.0192,7,Shipping on time,Regular Air
1341,CA-2017-113481,42737,42739,First Class,India,Hyderabad,28540,South,TEC-MA-10002178,Polo Collar neck,695.7,723.528,2,-27.828,3,Late delivery,Regular Air
1342,CA-2017-113481,42737,42739,First Class,India,Hyderabad,28540,South,OFF-BI-10003694,Polo Collar neck,15.66,28.188,5,-12.528,3,Advance shipping,Delivery Truck
1343,CA-2017-113481,42737,42739,First Class,India,Hyderabad,28540,South,OFF-BI-10000474,Polo Collar neck,28.854,50.0136,6,-21.1596,3,Late delivery,Regular Air
1344,CA-2015-131758,42152,42156,Standard Class,India,Hyderabad,11520,East,OFF-AR-10000411,Polo Collar neck,47.82,33.474,3,14.346,10,Late delivery,Regular Air
1345,CA-2015-131758,42152,42156,Standard Class,India,Hyderabad,11520,East,OFF-LA-10000262,Polo Collar neck,13.05,7.047,5,6.003,10,Late delivery,Delivery Truck
1346,CA-2014-118339,41715,41722,Standard Class,India,Hyderabad,55044,Central,OFF-AP-10001154,Polo Collar neck,93.78,57.2058,2,36.5742,10,Shipping on time,Regular Air
1347,CA-2014-118339,41715,41722,Standard Class,India,Hyderabad,55044,Central,OFF-PA-10000466,Polo Collar neck,47.18,23.59,7,23.59,10,Advance shipping,Regular Air
1348,CA-2014-118339,41715,41722,Standard Class,India,Hyderabad,55044,Central,OFF-AR-10003829,Polo Collar neck,19.68,13.9728,6,5.7072,10,Advance shipping,Regular Air
1349,CA-2014-118339,41715,41722,Standard Class,India,Hyderabad,55044,Central,OFF-BI-10001758,Polo Collar neck,53.4,28.302,10,25.098,10,Late delivery,Regular Air
1350,CA-2014-118339,41715,41722,Standard Class,India,Hyderabad,55044,Central,OFF-BI-10000136,Polo Collar neck,35.88,18.6576,6,17.2224,10,Late delivery,Regular Air
1351,CA-2014-153976,41915,41920,Second Class,India,Hyderabad,60201,Central,FUR-CH-10002880,Polo Collar neck,258.279,328.3833,3,-70.1043,7,Late delivery,Regular Air
1352,CA-2016-162901,42457,42460,First Class,India,Hyderabad,22204,South,OFF-ST-10000649,Polo Collar neck,31.4,23.55,2,7.85,3,Shipping on time,Regular Air
1353,CA-2017-162978,42859,42864,Standard Class,India,Hyderabad,94109,West,TEC-PH-10003092,Polo Collar neck,183.96,163.2645,5,20.6955,10,Shipping on time,Delivery Truck
1354,CA-2017-162978,42859,42864,Standard Class,India,Hyderabad,94109,West,OFF-PA-10002250,Polo Collar neck,17.61,9.1572,3,8.4528,10,Advance shipping,Regular Air
1355,CA-2017-162978,42859,42864,Standard Class,India,Hyderabad,94109,West,FUR-TA-10003473,Polo Collar neck,300.904,289.6201,1,11.2839,10,Late delivery,Regular Air
1356,US-2014-160444,41825,41825,First Class,India,Hyderabad,77036,Central,OFF-ST-10001522,Polo Collar neck,220.776,264.9312,3,-44.1552,3,Late delivery,Regular Air
1357,US-2014-160444,41825,41825,First Class,India,Hyderabad,77036,Central,OFF-ST-10000563,Polo Collar neck,281.424,316.602,11,-35.178,3,Late delivery,Delivery Truck
1358,CA-2016-145247,42495,42497,First Class,India,Hyderabad,40214,South,OFF-PA-10003641,Polo Collar neck,79.14,42.7356,3,36.4044,3,Advance shipping,Express Air
1359,CA-2017-160045,42851,42852,First Class,India,Hyderabad,76106,Central,FUR-FU-10000010,Polo Collar neck,1.988,3.4293,1,-1.4413,3,Shipping on time,Regular Air
1360,US-2014-151925,41908,41913,Second Class,India,Hyderabad,90049,West,FUR-CH-10002961,Polo Collar neck,145.568,145.568,2,0,7,Shipping on time,Regular Air
1361,CA-2017-125199,43027,43033,Standard Class,India,Hyderabad,19120,East,OFF-AR-10002956,Polo Collar neck,123.256,114.0118,7,9.2442,10,Late delivery,Express Air
1362,CA-2017-125199,43027,43033,Standard Class,India,Hyderabad,19120,East,OFF-PA-10004041,Polo Collar neck,23.68,16.28,4,7.4,10,Late delivery,Regular Air
1363,CA-2017-125199,43027,43033,Standard Class,India,Hyderabad,19120,East,TEC-PH-10001336,Polo Collar neck,309.576,366.3316,4,-56.7556,10,Advance shipping,Regular Air
1364,US-2017-155425,43049,43050,First Class,India,Hyderabad,85705,West,OFF-BI-10001036,Polo Collar neck,38.388,63.98,14,-25.592,3,Late delivery,Regular Air
1365,US-2017-155425,43049,43050,First Class,India,Hyderabad,85705,West,TEC-MA-10003183,Polo Collar neck,95.994,159.99,2,-63.996,3,Late delivery,Express Air
1366,US-2017-155425,43049,43050,First Class,India,Hyderabad,85705,West,TEC-AC-10001314,Polo Collar neck,239.952,275.9448,6,-35.9928,3,Shipping on time,Regular Air
1367,US-2017-155425,43049,43050,First Class,India,Hyderabad,85705,West,TEC-PH-10002563,Polo Collar neck,201.584,186.4652,2,15.1188,3,Advance shipping,Regular Air
1368,US-2017-155425,43049,43050,First Class,India,Hyderabad,85705,West,FUR-CH-10003312,Polo Collar neck,899.136,1045.2456,4,-146.1096,3,Shipping on time,Regular Air
1369,CA-2017-133249,42924,42927,First Class,India,Hyderabad,90660,West,FUR-FU-10001588,Polo Collar neck,145.9,83.163,5,62.737,3,Shipping on time,Regular Air
1370,US-2015-103471,42362,42366,Standard Class,India,Hyderabad,80906,West,FUR-BO-10002613,Polo Collar neck,590.058,1376.802,7,-786.744,10,Advance shipping,Express Air
1371,US-2015-103471,42362,42366,Standard Class,India,Hyderabad,80906,West,OFF-AR-10003405,Polo Collar neck,14.04,12.4605,3,1.5795,10,Advance shipping,Regular Air
1372,CA-2017-136672,42801,42806,Standard Class,India,Hyderabad,20735,East,TEC-AC-10004510,Polo Collar neck,49.08,44.172,3,4.908,10,Advance shipping,Regular Air
1373,US-2014-157021,41730,41735,Second Class,India,Hyderabad,94591,West,OFF-LA-10002312,Polo Collar neck,29.6,14.8,2,14.8,7,Shipping on time,Regular Air
1374,US-2014-157021,41730,41735,Second Class,India,Hyderabad,94591,West,OFF-BI-10000042,Polo Collar neck,17.088,11.5344,4,5.5536,7,Advance shipping,Regular Air
1375,CA-2015-120362,42261,42266,Standard Class,India,Hyderabad,84604,West,FUR-TA-10003008,Polo Collar neck,912.75,794.0925,5,118.6575,10,Late delivery,Regular Air
1376,CA-2014-126361,41855,41860,Second Class,India,Hyderabad,84062,West,OFF-AP-10003590,Polo Collar neck,1089.75,784.62,3,305.13,7,Late delivery,Regular Air
1377,CA-2014-126361,41855,41860,Second Class,India,Hyderabad,84062,West,OFF-PA-10000806,Polo Collar neck,447.84,228.3984,8,219.4416,7,Shipping on time,Regular Air
1378,CA-2014-126361,41855,41860,Second Class,India,Hyderabad,84062,West,OFF-AR-10000896,Polo Collar neck,16.4,12.136,5,4.264,7,Late delivery,Delivery Truck
1379,CA-2014-126361,41855,41860,Second Class,India,Hyderabad,84062,West,TEC-PH-10002310,Polo Collar neck,399.96,364.9635,5,34.9965,7,Late delivery,Express Air
1380,CA-2014-126361,41855,41860,Second Class,India,Hyderabad,84062,West,OFF-ST-10002289,Polo Collar neck,158.9,150.955,5,7.94499999999999,7,Late delivery,Delivery Truck
1381,CA-2014-126361,41855,41860,Second Class,India,Hyderabad,84062,West,OFF-BI-10002852,Polo Collar neck,13.184,8.4048,1,4.7792,7,Late delivery,Delivery Truck
1382,US-2016-100566,42616,42622,Standard Class,India,Hyderabad,60505,Central,FUR-FU-10003394,Polo Collar neck,83.952,174.2004,3,-90.2484,10,Advance shipping,Regular Air
1383,US-2016-108504,42405,42405,First Class,India,Hyderabad,30080,South,OFF-ST-10002344,Polo Collar neck,80.98,79.3604,1,1.61960000000001,3,Advance shipping,Regular Air
1384,US-2016-108504,42405,42405,First Class,India,Hyderabad,30080,South,OFF-PA-10001289,Polo Collar neck,348.84,177.9084,9,170.9316,3,Late delivery,Regular Air
1385,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,OFF-FA-10000053,Polo Collar neck,9.45,9.261,5,0.189,3,Advance shipping,Regular Air
1386,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,FUR-FU-10004091,Polo Collar neck,18.84,11.6808,3,7.1592,3,Late delivery,Express Air
1387,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,FUR-BO-10004015,Polo Collar neck,239.98,187.1844,2,52.7956,3,Late delivery,Regular Air
1388,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,OFF-EN-10003001,Polo Collar neck,167.96,89.0188,2,78.9412,3,Advance shipping,Express Air
1389,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,TEC-PH-10000215,Polo Collar neck,104.85,76.5405,3,28.3095,3,Late delivery,Regular Air
1390,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,TEC-PH-10003645,Polo Collar neck,484.83,358.7742,3,126.0558,3,Late delivery,Regular Air
1391,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,OFF-PA-10000357,Polo Collar neck,122.97,62.7147,3,60.2553,3,Advance shipping,Regular Air
1392,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,OFF-ST-10004804,Polo Collar neck,154.44,152.8956,3,1.5444,3,Late delivery,Regular Air
1393,US-2016-108504,42405,42405,First Class,India,Bengaluru,30080,South,OFF-PA-10003892,Polo Collar neck,342.37,181.4561,7,160.9139,3,Late delivery,Regular Air
1394,CA-2017-124828,42919,42920,First Class,India,Bengaluru,27217,South,OFF-AR-10003514,Polo Collar neck,9.552,7.9998,3,1.5522,3,Late delivery,Regular Air
1395,US-2017-117247,43017,43022,Standard Class,India,Bengaluru,60505,Central,FUR-TA-10002958,Polo Collar neck,652.45,1083.067,5,-430.617,10,Late delivery,Regular Air
1396,US-2017-117247,43017,43022,Standard Class,India,Bengaluru,60505,Central,FUR-TA-10001676,Polo Collar neck,66.645,109.2978,3,-42.6528,10,Shipping on time,Express Air
1397,CA-2016-124485,42698,42700,First Class,India,Bengaluru,10035,East,OFF-BI-10000822,Polo Collar neck,17.216,11.1904,4,6.0256,3,Late delivery,Regular Air
1398,CA-2016-124485,42698,42700,First Class,India,Bengaluru,10035,East,OFF-PA-10004971,Polo Collar neck,11.56,5.8956,2,5.6644,3,Late delivery,Express Air
1399,CA-2016-124485,42698,42700,First Class,India,Bengaluru,10035,East,TEC-AC-10002323,Polo Collar neck,88.4,76.908,4,11.492,3,Late delivery,Express Air
1400,CA-2016-124485,42698,42700,First Class,India,Bengaluru,10035,East,OFF-PA-10004888,Polo Collar neck,6.48,3.3696,1,3.1104,3,Advance shipping,Regular Air
1401,CA-2016-159212,42675,42679,Standard Class,India,Bengaluru,24153,South,TEC-PH-10003988,Polo Collar neck,21.8,15.696,2,6.104,10,Shipping on time,Regular Air
1402,CA-2016-159212,42675,42679,Standard Class,India,Bengaluru,24153,South,OFF-EN-10002230,Polo Collar neck,251.79,133.4487,3,118.3413,10,Advance shipping,Regular Air
1403,US-2016-161396,42479,42485,Standard Class,India,Bengaluru,43229,East,FUR-TA-10002622,Polo Collar neck,205.176,263.3092,2,-58.1332,10,Late delivery,Regular Air
1404,US-2016-161396,42479,42485,Standard Class,India,Bengaluru,43229,East,OFF-PA-10000418,Polo Collar neck,419.4,272.61,5,146.79,10,Advance shipping,Regular Air
1405,US-2014-118486,41735,41737,First Class,India,Bengaluru,19143,East,OFF-SU-10004498,Polo Collar neck,10.304,12.4936,1,-2.1896,3,Late delivery,Regular Air
1406,US-2014-118486,41735,41737,First Class,India,Bengaluru,19143,East,FUR-TA-10001039,Polo Collar neck,154.764,190.8756,3,-36.1116,3,Late delivery,Regular Air
1407,US-2014-118486,41735,41737,First Class,India,Bengaluru,19143,East,TEC-AC-10004659,Polo Collar neck,116.784,94.887,2,21.897,3,Late delivery,Regular Air
1408,CA-2016-130407,42615,42619,Standard Class,India,Bengaluru,10024,East,OFF-AR-10002240,Polo Collar neck,75.48,55.8552,2,19.6248,10,Late delivery,Delivery Truck
1409,CA-2016-130407,42615,42619,Standard Class,India,Bengaluru,10024,East,FUR-FU-10001967,Polo Collar neck,39.98,29.985,2,9.995,10,Shipping on time,Delivery Truck
1410,US-2016-122245,42638,42643,Standard Class,India,Bengaluru,85023,West,FUR-TA-10002356,Polo Collar neck,393.165,597.6108,3,-204.4458,10,Late delivery,Express Air
1411,CA-2017-105144,43043,43050,Standard Class,India,Bengaluru,75051,Central,OFF-LA-10003923,Polo Collar neck,23.68,14.8,2,8.88,10,Late delivery,Regular Air
1412,CA-2016-136329,42560,42564,Standard Class,India,Bengaluru,10035,East,FUR-CH-10002335,Polo Collar neck,408.006,335.4716,2,72.5344,10,Late delivery,Express Air
1413,CA-2016-136329,42560,42564,Standard Class,India,Bengaluru,10035,East,FUR-FU-10000723,Polo Collar neck,165.28,150.4048,4,14.8752,10,Late delivery,Regular Air
1414,CA-2014-146640,41820,41825,Standard Class,India,Bengaluru,10024,East,OFF-BI-10002867,Polo Collar neck,334.768,225.9684,7,108.7996,10,Shipping on time,Regular Air
1415,CA-2017-115994,42763,42766,Second Class,India,Bengaluru,92627,West,TEC-AC-10000580,Polo Collar neck,239.97,213.5733,3,26.3967,7,Shipping on time,Regular Air
1416,CA-2017-115994,42763,42766,Second Class,India,Bengaluru,92627,West,FUR-FU-10003976,Polo Collar neck,37.74,24.9084,3,12.8316,7,Advance shipping,Regular Air
1417,CA-2015-126697,42268,42271,First Class,India,Bengaluru,77041,Central,TEC-PH-10002922,Polo Collar neck,946.344,828.051,7,118.293,3,Shipping on time,Delivery Truck
1418,CA-2015-126697,42268,42271,First Class,India,Bengaluru,77041,Central,TEC-AC-10004353,Polo Collar neck,151.2,119.07,3,32.13,3,Advance shipping,Express Air
1419,CA-2015-126697,42268,42271,First Class,India,Bengaluru,77041,Central,FUR-FU-10001706,Polo Collar neck,4.928,6.4064,4,-1.4784,3,Late delivery,Delivery Truck
1420,CA-2015-124800,42273,42277,Standard Class,India,Bengaluru,85204,West,OFF-PA-10000501,Polo Collar neck,86.272,54.9984,4,31.2736,10,Shipping on time,Regular Air
1421,CA-2015-124800,42273,42277,Standard Class,India,Bengaluru,85204,West,OFF-BI-10000778,Polo Collar neck,72.588,120.98,2,-48.392,10,Late delivery,Delivery Truck
1422,CA-2015-124800,42273,42277,Standard Class,India,Bengaluru,85204,West,OFF-AP-10004980,Polo Collar neck,60.672,46.2624,2,14.4096,10,Shipping on time,Express Air
1423,CA-2015-124800,42273,42277,Standard Class,India,Bengaluru,85204,West,OFF-BI-10003984,Polo Collar neck,77.031,136.0881,9,-59.0571,10,Late delivery,Delivery Truck
1424,CA-2015-124800,42273,42277,Standard Class,India,Bengaluru,85204,West,OFF-ST-10000798,Polo Collar neck,119.904,121.4028,6,-1.49880000000001,10,Advance shipping,Express Air
1425,CA-2015-124800,42273,42277,Standard Class,India,Bengaluru,85204,West,TEC-PH-10001750,Polo Collar neck,263.96,240.8635,5,23.0965,10,Advance shipping,Regular Air
1426,CA-2015-124800,42273,42277,Standard Class,India,Bengaluru,85204,West,OFF-ST-10002743,Polo Collar neck,363.648,450.0144,4,-86.3664,10,Late delivery,Delivery Truck
1427,US-2015-164448,42308,42312,Second Class,India,Bengaluru,93905,West,OFF-BI-10002949,Polo Collar neck,9.728,6.4448,2,3.2832,7,Late delivery,Express Air
1428,US-2015-164448,42308,42312,Second Class,India,Bengaluru,93905,West,OFF-EN-10002600,Polo Collar neck,14.75,7.67,5,7.08,7,Late delivery,Regular Air
1429,US-2015-164448,42308,42312,Second Class,India,Bengaluru,93905,West,OFF-BI-10003708,Polo Collar neck,29.8,20.4875,5,9.3125,7,Late delivery,Regular Air
1430,US-2015-164448,42308,42312,Second Class,India,Bengaluru,93905,West,OFF-LA-10003510,Polo Collar neck,427.42,230.8068,14,196.6132,7,Advance shipping,Express Air
1431,CA-2017-122700,43065,43069,Standard Class,India,Bengaluru,43229,East,TEC-PH-10003092,Polo Collar neck,220.752,261.2232,8,-40.4712,10,Advance shipping,Express Air
1432,CA-2014-120768,41992,41994,Second Class,India,Bengaluru,35630,South,OFF-BI-10001191,Polo Collar neck,152.76,77.9076,6,74.8524,7,Shipping on time,Delivery Truck
1433,CA-2014-120768,41992,41994,Second Class,India,Bengaluru,35630,South,OFF-SU-10004115,Polo Collar neck,7.27,5.3071,1,1.9629,7,Advance shipping,Regular Air
1434,CA-2014-120768,41992,41994,Second Class,India,Bengaluru,35630,South,FUR-CH-10000513,Polo Collar neck,1819.86,1656.0726,14,163.7874,7,Shipping on time,Regular Air
1435,US-2016-153129,42730,42734,Standard Class,India,Bengaluru,98105,West,OFF-PA-10003673,Polo Collar neck,33.9,18.306,5,15.594,10,Shipping on time,Delivery Truck
1436,CA-2017-106852,42906,42913,Standard Class,India,Bengaluru,44134,East,OFF-PA-10001639,Polo Collar neck,31.104,20.2176,6,10.8864,10,Advance shipping,Delivery Truck
1437,CA-2017-106852,42906,42913,Standard Class,India,Mysore,44134,East,OFF-AR-10003829,Polo Collar neck,5.248,4.6576,2,0.590399999999999,10,Shipping on time,Regular Air
1438,CA-2015-139731,42292,42292,First Class,India,Mysore,79109,Central,TEC-AC-10004975,Polo Collar neck,263.88,220.9995,3,42.8805,3,Advance shipping,Delivery Truck
1439,CA-2015-139731,42292,42292,First Class,India,Mysore,79109,Central,FUR-CH-10002024,Polo Collar neck,2453.43,2803.92,5,-350.49,3,Advance shipping,Regular Air
1440,CA-2017-122735,42837,42840,Second Class,India,Mysore,2908,East,OFF-BI-10004364,Polo Collar neck,29.7,16.335,5,13.365,7,Late delivery,Express Air
1441,CA-2017-122735,42837,42840,Second Class,India,Mysore,2908,East,OFF-PA-10001712,Polo Collar neck,39.96,21.978,4,17.982,7,Shipping on time,Express Air
1442,CA-2017-128160,43088,43093,Second Class,India,Mysore,94110,West,OFF-BI-10001510,Polo Collar neck,36.672,25.212,2,11.46,7,Late delivery,Express Air
1443,CA-2017-117695,42952,42955,First Class,India,Mysore,40475,South,OFF-PA-10002713,Polo Collar neck,13.76,7.4304,2,6.3296,3,Shipping on time,Express Air
1444,CA-2015-166135,42278,42283,Standard Class,India,Mysore,80013,West,OFF-ST-10002974,Polo Collar neck,139.424,121.996,4,17.428,10,Late delivery,Delivery Truck
1445,CA-2016-133725,42513,42518,Standard Class,India,Mysore,60623,Central,TEC-PH-10004165,Polo Collar neck,1979.928,1831.4334,9,148.4946,10,Shipping on time,Express Air
